id,from,at,to,open,close,min,max,volume,SMA,RSI,Sinal
2519942,1722015600,1722015660001467882,1722015660,1.08586,1.08587,1.08586,1.08595,245,,,Neutro
2519943,1722015660,1722015720000000000,1722015720,1.08587,1.085855,1.085845,1.08592,191,,,Neutro
2519944,1722015720,1722015780000000000,1722015780,1.085855,1.085865,1.0858,1.085875,213,,,Neutro
2519945,1722015780,1722015840000000000,1722015840,1.08587,1.085875,1.085805,1.085895,191,,,Neutro
2519946,1722015840,1722015900000000000,1722015900,1.085875,1.085935,1.085875,1.08595,171,,,Neutro
2519947,1722015900,1722015960000000000,1722015960,1.085945,1.08599,1.08592,1.08603,156,,,Neutro
2519948,1722015960,1722016020000000000,1722016020,1.08599,1.08608,1.08599,1.086105,131,,,Neutro
2519949,1722016020,1722016080000000000,1722016080,1.08608,1.086085,1.086065,1.086145,115,,,Neutro
2519950,1722016080,1722016140000000000,1722016140,1.086085,1.08606,1.086055,1.08613,157,,,Neutro
2519951,1722016140,1722016200000000000,1722016200,1.08605,1.08601,1.08601,1.08608,158,1.0859625,,Neutro
2519952,1722016200,1722016260000000000,1722016260,1.08601,1.08608,1.086,1.08609,159,1.0859835,,Neutro
2519953,1722016260,1722016320000000000,1722016320,1.08608,1.086,1.085995,1.086135,186,1.085998,,Neutro
2519954,1722016320,1722016380000000000,1722016380,1.08601,1.08599,1.08599,1.086045,148,1.0860105,,Neutro
2519955,1722016380,1722016440000000000,1722016440,1.085995,1.086035,1.085995,1.0861,181,1.0860265,,Neutro
2519956,1722016440,1722016500000000000,1722016500,1.08604,1.086055,1.08601,1.086095,172,1.0860385000000001,66.97247706423587,Neutro
2519957,1722016500,1722016560000000000,1722016560,1.086055,1.086015,1.08601,1.086055,121,1.086041,64.03508771929381,Neutro
2519958,1722016560,1722016620000000000,1722016620,1.086005,1.086085,1.086,1.08609,152,1.0860414999999999,67.46031746031103,Neutro
2519959,1722016620,1722016680000000000,1722016680,1.086085,1.08607,1.08605,1.08611,147,1.0860400000000001,65.354330708676,Neutro
2519960,1722016680,1722016740000000000,1722016740,1.086075,1.086055,1.086055,1.086105,147,1.0860395,60.16949152541735,Neutro
2519961,1722016740,1722016800000000000,1722016800,1.08606,1.08607,1.08604,1.0861,128,1.0860455,57.27272727273388,Neutro
2519962,1722016800,1722016860000000000,1722016860,1.08607,1.086085,1.08606,1.08611,172,1.086046,50.52631578947713,Neutro
2519963,1722016860,1722016920000000000,1722016920,1.086095,1.08614,1.08607,1.08615,184,1.08606,55.23809523810733,Neutro
2519964,1722016920,1722016980000000000,1722016980,1.086135,1.08614,1.086095,1.08615,130,1.0860750000000001,58.000000000005336,Neutro
2519965,1722016980,1722017040000000000,1722017040,1.08615,1.086115,1.086095,1.086155,143,1.086083,61.052631578944414,Neutro
2519966,1722017040,1722017100003864241,1722017100,1.086115,1.086075,1.08607,1.08615,107,1.086085,49.43820224718765,Neutro
2519967,1722017100,1722017160000000000,1722017160,1.086075,1.08606,1.086025,1.08609,160,1.0860895,57.89473684209297,Neutro
2519968,1722017160,1722017220000000000,1722017220,1.08607,1.086085,1.086065,1.086125,133,1.0860895,62.025316455686244,Neutro
2519969,1722017220,1722017280000000000,1722017280,1.08608,1.086155,1.08608,1.08616,114,1.086098,64.28571428569919,Neutro
2519970,1722017280,1722017340000000000,1722017340,1.086155,1.08614,1.08612,1.08618,153,1.0861065,60.24096385543394,Neutro
2519971,1722017340,1722017400000000000,1722017400,1.08614,1.08612,1.086115,1.086155,106,1.0861115000000001,63.291139240504194,Neutro
2519972,1722017400,1722017460000000000,1722017460,1.08612,1.08619,1.08611,1.086205,125,1.086122,63.291139240504194,Neutro
2519973,1722017460,1722017520000000000,1722017520,1.086185,1.086285,1.086155,1.0863,166,1.0861364999999998,72.63157894734235,Venda
2519974,1722017520,1722017580000000000,1722017580,1.08628,1.086285,1.08626,1.08631,145,1.0861509999999999,74.99999999998793,Venda
2519975,1722017580,1722017640000000000,1722017640,1.086295,1.08623,1.086205,1.08631,114,1.0861625,65.99999999999557,Neutro
2519976,1722017640,1722017700000000000,1722017700,1.08623,1.08616,1.08616,1.08624,176,1.086171,56.75675675676,Neutro
2519977,1722017700,1722017760000000000,1722017760,1.08616,1.086305,1.08616,1.086315,166,1.0861954999999999,62.79069767441621,Neutro
2519978,1722017760,1722017820002890078,1722017820,1.08631,1.08634,1.08628,1.086365,144,1.086221,64.70588235293926,Neutro
2519979,1722017820,1722017880002459280,1722017880,1.08634,1.086275,1.086255,1.08635,90,1.086233,61.11111111112482,Neutro
2519980,1722017880,1722017940000000000,1722017940,1.086275,1.08621,1.08618,1.086275,111,1.08624,59.06040268456356,Neutro
2519981,1722017940,1722018000000000000,1722018000,1.086205,1.086125,1.08612,1.086235,122,1.0862405,53.987730061348515,Neutro
2519982,1722018000,1722018060000000000,1722018060,1.086125,1.08607,1.08606,1.086165,140,1.0862285,49.11242603551027,Neutro
2519983,1722018060,1722018120000463987,1722018120,1.08606,1.085995,1.08598,1.086085,153,1.0861995,40.588235294121496,Neutro
2519984,1722018120,1722018180006729993,1722018180,1.086,1.085985,1.08598,1.08602,130,1.0861695,40.82840236685862,Neutro
2519985,1722018180,1722018240000000000,1722018240,1.08598,1.085985,1.08596,1.086,146,1.086145,41.818181818182794,Neutro
2519986,1722018240,1722018300000000000,1722018300,1.085995,1.08597,1.08596,1.08602,145,1.0861260000000001,35.71428571429189,Neutro
2519987,1722018300,1722018360000000000,1722018360,1.08596,1.08597,1.085945,1.085995,186,1.0860925000000001,26.666666666677628,Compra
2519988,1722018360,1722018420000000000,1722018420,1.085965,1.08591,1.08589,1.085995,126,1.0860495000000001,24.48979591837167,Compra
2519989,1722018420,1722018480001755950,1722018480,1.085905,1.08599,1.085885,1.086,164,1.0860210000000001,34.21052631579485,Neutro
2519990,1722018480,1722018540007553679,1722018540,1.086,1.085965,1.08595,1.086,176,1.0859964999999998,36.36363636364483,Neutro
2519991,1722018540,1722018600000000000,1722018600,1.085965,1.085945,1.08593,1.085985,134,1.0859785,19.49152542373328,Compra
2519992,1722018600,1722018660000000000,1722018660,1.08595,1.085915,1.085915,1.08596,122,1.085963,13.675213675220817,Compra
2519993,1722018660,1722018720003027717,1722018720,1.085915,1.08594,1.085905,1.085945,126,1.0859575,19.266055045867077,Compra
2519994,1722018720,1722018780000000000,1722018780,1.085935,1.085945,1.085915,1.085985,132,1.0859535,22.68041237114204,Compra
2519995,1722018780,1722018840000000000,1722018840,1.085945,1.08593,1.085915,1.08597,135,1.0859480000000001,26.50602409639521,Compra
2519996,1722018840,1722018900000000000,1722018900,1.08593,1.085875,1.08586,1.08593,124,1.0859385000000001,26.506024096381026,Compra
2519997,1722018900,1722018960000000000,1722018960,1.085885,1.085965,1.085875,1.08599,146,1.085938,46.51162790698275,Neutro
2519998,1722018960,1722019020000000000,1722019020,1.08597,1.08602,1.085955,1.086035,135,1.0859489999999998,53.6842105263148,Neutro
2519999,1722019020,1722019080000000000,1722019080,1.08602,1.08604,1.08601,1.086045,115,1.085954,55.55555555554559,Neutro
2520000,1722019080,1722019140000000000,1722019140,1.086045,1.08599,1.085935,1.086045,116,1.0859565,51.8867924528211,Neutro
2520001,1722019140,1722019200000000000,1722019200,1.08598,1.08604,1.085955,1.08604,109,1.085966,56.03448275860254,Neutro
2520002,1722019200,1722019260000000000,1722019260,1.08604,1.08598,1.085965,1.08604,123,1.0859725,56.03448275862399,Neutro
2520003,1722019260,1722019320000149972,1722019320,1.08598,1.08586,1.085825,1.08598,166,1.0859645,39.516129032254604,Neutro
2520004,1722019320,1722019380000000000,1722019380,1.08585,1.085795,1.085785,1.08588,216,1.0859495000000001,37.12121212120524,Neutro
2520005,1722019380,1722019440000000000,1722019440,1.0858,1.085885,1.0858,1.08591,190,1.0859450000000002,45.890410958904525,Neutro
2520006,1722019440,1722019500000000000,1722019500,1.085885,1.085895,1.085855,1.08592,160,1.085947,48.591549295780155,Neutro
2520007,1722019500,1722019560000000000,1722019560,1.085895,1.085795,1.085795,1.085895,167,1.0859299999999998,40.76433121019648,Neutro
2520008,1722019560,1722019620000000000,1722019620,1.085805,1.0857,1.085685,1.085855,168,1.085898,36.000000000002025,Neutro
2520009,1722019620,1722019680001561597,1722019680,1.08571,1.08574,1.085675,1.08575,186,1.085868,39.444444444430594,Neutro
2520010,1722019680,1722019740000000000,1722019740,1.08574,1.085735,1.085715,1.08578,199,1.0858425,41.76470588234495,Neutro
2520011,1722019740,1722019800000000000,1722019800,1.085735,1.08577,1.08571,1.085795,207,1.0858155,37.73584905658111,Neutro
2520012,1722019800,1722019860000000000,1722019860,1.085775,1.08573,1.085705,1.085795,163,1.0857905,31.41025641024163,Neutro
2520013,1722019860,1722019920000000000,1722019920,1.08573,1.08572,1.085705,1.08575,123,1.0857765000000001,29.22077922076761,Compra
2520014,1722019920,1722019980000000000,1722019980,1.08573,1.08568,1.08567,1.085745,139,1.0857649999999999,29.605263157877246,Compra
2520015,1722019980,1722020040000000000,1722020040,1.08567,1.085645,1.085605,1.08569,187,1.085741,23.489932885895243,Compra
2520016,1722020040,1722020100000000000,1722020100,1.085645,1.08564,1.08563,1.0857,159,1.0857154999999998,25.362318840566175,Compra
2520017,1722020100,1722020160000000000,1722020160,1.08564,1.08566,1.085615,1.08569,176,1.085702,33.05084745762521,Neutro
2520018,1722020160,1722020220000000000,1722020220,1.08566,1.08565,1.08564,1.0857,159,1.085697,36.448598130834135,Neutro
